UID|OS|Browser|Device|startTime|devInfo|vibration|orientation|acceleration|rotationRate|proximity|light|magnetometer|compass|battery|geolocation|image|audio|endTime
183||||"21/01/2024, 15:22:43"|"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"|0|0|1|1|0|0|0|0|0|0|0|0|"21/01/2024, 15:22:56"
186||||"1/22/2024, 9:24:55 AM"|"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0"|0|0|0|0|0|0|0|0|0|0|0|0|"1/22/2024, 9:26:05 AM"
198|"iOS 16"|FireFox122.1|"iPhone 13"|"01/02/2024, 07:14:26"|"Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.1  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|1|1|"01/02/2024, 07:15:07"
199|"iOS 14"|FireFox119.2|"iPhone 12"|"01/02/2024, 07:24:30"|"Mozilla/5.0 (iPhone; CPU iPhone OS 14_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/119.2  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|0|0|"01/02/2024, 07:24:50"
204|"iOS 13"|FireFox111.2|"iPhone 11"|"01/02/2024, 07:38:53"|"Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/111.2  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|0|0|"01/02/2024, 07:39:13"
205|"iOS 17"|FireFox122.1|"iPhone 15"|"01/02/2024, 07:45:01"|"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.1  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|1|"01/02/2024, 07:45:44"|1
206|"iOS 17"|FireFox122.1|"iPhone 15"|"01/02/2024, 07:57:48"|"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.1  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|1|"01/02/2024, 07:58:28"|1
207|"iOS 16"|FireFox122.1|"iPhone 14"|"01/02/2024, 08:05:05"|"Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.1  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|1|"01/02/2024, 08:05:44"|1
208|"iOS 16"|FireFox122.1|"iPhone 14Pro"|"01/02/2024, 08:10:52"|"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.1  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|1|"01/02/2024, 08:11:27"|1
209|"iOS 17.2"|FireFox122.1|"iPhone 15"|"01/02/2024, 08:24:13"|"Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.1  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|1|"01/02/2024, 08:25:13"|1
210|"iOS 16"|FireFox122.1|"iPhone 14ProMax"|"01/02/2024, 08:31:02"|"Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.1  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|1|"01/02/2024, 08:31:36"|1
211|"iOS 17"|FireFox122.1|"iPhone 1Pro"|"01/02/2024, 08:44:41"|"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.1  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|1|"01/02/2024, 08:45:16"|1
212|"iOS 17"|FireFox122.1|"iPhone 13"|"01/02/2024, 09:17:14"|"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.1  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|1|"01/02/2024, 09:17:52"|1
213|"iOS 17"|FireFox122.1|"iPhone 12"|"01/02/2024, 09:22:37"|"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.1  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|1|"01/02/2024, 09:23:18"|1
215|"iOS 17"|FireFox122.1|"iPhone 11Pro"|"02/02/2024, 10:17:47"|"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.1  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|0|0|"02/02/2024, 10:18:12"
216|"iOS 15"|FireFox122.1|"iPhone 13ProMini"|"2/2/2024, 10:32:44 AM"|"Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/122.1  Mobile/15E148 Safari/605.1.15"|0|0|0|0|0|0|0|0|0|0|1|1|"2/2/2024, 10:33:18 AM"
